timestamp,name,location,access
2015-11-17T02:35:00-05:00,"The President participates in a bilateral meeting with Prime Minister Malcolm Turnbull of the Commonwealth of Australia","Hotel Sofitel Philippine Plaza, Manila, Philippines","Pool Spray at the Bottom"
2015-11-17T12:38:00-05:00,"The President participates in a meeting on the Trans-Pacific Partnership","Sofitel Philippine Plaza Manila, Manila, Philippines","Pool Spray at the Top"
2015-11-17T19:30:00-05:00,"The President holds a bilateral meeting with President Benigno Aquino of the Philippines","Sofitel Philippine Plaza Manila, Manila, Philippines","Pool Spray at the Bottom"
2015-11-17T21:15:00-05:00,"The President delivers remarks at a CEO Summit","Makati Shangri-La, Manila, Philippines","Open to pre-credentialed media"
2015-11-17T23:00:00-05:00,"The President participates in a family photo with leaders of the TPP countries","Sofitel Philippine Plaza Manila, Manila, Philippines","Travel Pool Coverage"
2015-11-16T03:05:00-05:00,"The President meets with Embassy personnel","Calista Luxury Resort, Antalya, Turkey","Closed Press"
2015-11-16T03:30:00-05:00,"The President attends a G20 meeting","Regnum Carya Resort, Antalya, Turkey","Closed Press"
2015-11-16T06:00:00-05:00,"The President attends a G20 working lunch","Regnum Carya Resort, Antalya, Turkey","Closed Press"
2015-11-16T08:15:00-05:00,"The President holds a quint bilateral meeting with Prime Minister David Cameron of the United Kingdom, Chancellor Angela Merkel of Germany, Prime Minister Matteo Renzi of Italy and Foreign Minister Laurent Fabius of France","Regnum Carya Resort, Antalya, Turkey","Pool Spray at the Top"
2015-11-16T10:30:00-05:00,"The President holds a press conference","Kaya Palazzo Resort, Antalya, Turkey","Open Press"
2015-11-16T12:10:00-05:00,"The President departs Turkey","Antalya Airport, Antalya, Turkey","Travel Pool Coverage"
2015-11-16T18:00:00-05:00,"The Vice President participates in a roundtable discussion with Mayor Garcetti","Los Angeles Cleantech Incubator","Open Press"
2015-11-16T22:45:00-05:00,"The President arrives Manila, Philippines","Ninoy Aquino International Airport, Manila, Philippines","Open Press"
2015-11-15T00:00:00-05:00,"The President arrives in Antalya, Turkey","Antalya International Airport","Travel Pool Coverage"
2015-11-15T03:20:00-05:00,"The President participates in a bilateral meeting with President Tayyip Erdogan of Turkey","Regnum Carya Resort, Antalya, Turkey","Pool Spray at the Bottom"
2015-11-15T06:05:00-05:00,"The President attends a G20 Welcome Ceremony","Regnum Carya Resort, Antalya, Turkey","Pooled Press"
2015-11-15T06:15:00-05:00,"The President takes an official G20 family photo","Regnum Carya Resort, Antalya, Turkey","Travel Pool Coverage"
2015-11-15T06:30:00-05:00,"The President participates in a G20 working lunch","Regnum Carya Resort, Antalya, Turkey","Closed Press"
2015-11-15T08:30:00-05:00,"The President participates in a G20 working session","Regnum Carya Resort, Antalya, Turkey","Travel Pool Coverage"
2015-11-15T13:30:00-05:00,"The President participates in a G20 working dinner","Regnum Carya Resort, Antalya, Turkey","Closed Press"
2015-11-14T14:10:00-05:00,"The President departs the White House en route Joint Base Andrews","South Lawn","Open Press"
2015-11-14T14:20:00-05:00,"The President departs Joint Base Andrews en route Antalya, Turkey",,"Travel Pool Coverage"
2015-11-13T11:30:00-05:00,"The President meets Archbishop Joseph Kurtz, Cardinal Donald Wuerl and Monsignor Ronny Jenkins; The Vice President also attends","Oval Office","Closed Press"
2015-11-13T12:30:00-05:00,"The President and the Vice President meet for lunch","Private Dining Room","Closed Press"
2015-11-13T15:10:00-05:00,"The President meets with national security leaders; The Vice President also attends","Roosevelt Room","Pool Spray at the Bottom"
2015-11-12T11:15:00-05:00,"The President awards Captain Florent A. Groberg, U.S. Army (Ret) the Medal of Honor","East Room","Open Press"
2015-11-10T10:00:00-05:00,"The President receives the Presidential Daily Briefing","Oval Office","Closed Press"
2015-11-10T11:15:00-05:00,"The Vice President delivers remarks at an Itâs On Us event with students at Clemson University.","Clemson University","Open Press"
2015-11-10T15:30:00-05:00,"The Vice President holds an Itâs On Us roundtable with Morehouse and Spelman students.","Morehouse College","Closed Press"
2015-11-10T16:30:00-05:00,"The Vice President delivers remarks at an Itâs On Us event with students at Morehouse College.","Morehouse College","Open Press"
2015-11-10T17:00:00-05:00,"The President meets with Secretary of Defense Carter","Oval Office","Closed Press"
2015-11-09T10:30:00-05:00,"The President holds a bilateral meeting with Prime Minister Benjamin Netanyahu; The Vice President will also attend","Oval Office","Pool Spray at the Top"
2015-11-09T13:55:00-05:00,"The President meets with Secretary of State Kerry","Oval Office","Closed Press"
2015-11-09T16:55:00-05:00,"The President delivers remarks at a Organizing for Action event","St. Regis Hotel in Washington","Pooled TV, Open to Correspondents"
2015-11-09T17:20:00-05:00,"The President delivers remarks and answers questions at an Organizing for Action dinner","St. Regis Hotel in Washington","Print Pool"
2015-11-06T10:00:00-05:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-11-06T12:00:00-05:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-11-06T12:30:00-05:00,"The President and the Vice President meet for lunch","Private Dining Room","Closed Press"
2015-11-05T10:30:00-05:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-11-05T12:30:00-05:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-11-05T14:10:00-05:00,"The President is interviewed by local radio hosts participating in âLive from the White Houseâ","Oval Office",
2015-11-05T15:00:00-05:00,"The Vice President delivers remarks at the National League of Cities 2015 Congress of Cities and Exposition","Nashville Music City Center, Nashville, Tennessee","Open Press"
2015-11-05T16:15:00-05:00,"The President delivers remarks at the 2015 White House Tribal Nations Conference","Ronald Reagan Building, Washington, DC","Pooled TV, Open to Correspondents"
2015-11-04T10:30:00-05:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-11-04T12:30:00-05:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-11-04T14:30:00-05:00,"The President participates in a conference call with ACA in-person assisters and volunteers","Oval Office","Closed Press"
2015-11-04T17:40:00-05:00,"The President delivers remarks and takes questions at a DNC event","Private Residence, Potomac, Maryland","Print Pool"
2015-11-03T10:30:00-05:00,"The President and the Vice President will receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-11-02T10:00:00-05:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-11-02T11:55:00-05:00,"The President departs the White House en route Joint Base Andrews","South Lawn","Open Press"
2015-11-02T12:10:00-05:00,"The President departs Joint Base Andrews en route Newark, New Jersey",,"Travel Pool Coverage"
2015-11-02T13:05:00-05:00,"The President arrives Newark, New Jersey","Newark Liberty International Airport","Open to pre-credentialed media"
2015-11-02T13:25:00-05:00,"The President visits Integrity House","Integrity House, Newark, New Jersey","Travel Pool Coverage"
2015-11-02T15:15:00-05:00,"The President convenes a roundtable discussion","Rutgers University â Newark, Center for Law & Justice, Newark, New Jersey","Pool Spray at the Top"
2015-11-02T16:20:00-05:00,"The President delivers a statement","Rutgers University â Newark, Center for Law & Justice, Newark, New Jersey","Pooled TV, Open to Correspondents"
2015-11-02T19:00:00-05:00,"The President delivers remarks and answers questions at a DCCC event","Private Residence, New York","Print Pool"
2015-11-02T20:05:00-05:00,"The President delivers remarks at a DNC event","Richard Rodgers Theatre, New York","Travel Pool Coverage"
2015-11-02T21:50:00-05:00,"The President departs New York en route Newark, New Jersey","Downtown Manhattan Heliport, New York","Travel Pool Coverage"
2015-11-02T22:05:00-05:00,"The President departs Newark en route Washington, DC","Newark Liberty International Airport","Open to pre-credentialed media"
2015-11-02T23:05:00-05:00,"The President arrives Joint Base Andrews",,"Travel Pool Coverage"
2015-11-02T23:15:00-05:00,"The President arrives the White House","South Lawn","Open Press"
2015-10-30T10:30:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-10-30T12:30:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-10-30T17:15:00-04:00,"The President and the First Lady welcome local children and children of military families to trick-or-treat at the White House","South Portico","Pooled Press"
2015-10-29T10:30:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-10-29T12:30:00-04:00,"The President and the Vice President meet for lunch","Private Dining Room","Closed Press"
2015-10-29T12:30:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-10-29T14:45:00-04:00,"The President meets with Secretary of Defense Carter; the Vice President also attends","Oval Office","Closed Press"
2015-10-29T19:25:00-04:00,"The President participates in a DCCC roundtable","Private Residence, McLean, Virginia","Closed Press"
2015-10-28T10:35:00-04:00,"The President departs Chicago, Illinois","Chicago OâHare International Airport, Chicago, Illinois","Open to pre-credentialed media"
2015-10-28T12:15:00-04:00,"The President arrives Joint Base Andrews",,"Travel Pool Coverage"
2015-10-28T12:30:00-04:00,"The President arrives at the White House","South Lawn","Open Press"
2015-10-28T15:05:00-04:00,"The President meets with General Allen","Oval Office","Closed Press"
2015-10-28T15:50:00-04:00,"The President welcomes Prince Harry","Oval Office","Pool Spray at the Bottom"
2015-10-27T11:05:00-04:00,"The President welcomes the United States Women's National Soccer Team","East Room","Open Press"
2015-10-27T11:05:00-04:00,"The President welcomes the United States Women's National Soccer Team",,"Open Press"
2015-10-27T11:40:00-04:00,"The President departs the White House en route Joint Base Andrews","South Lawn","Open Press"
2015-10-27T11:55:00-04:00,"The President departs Joint Base Andrews en route Chicago, Illinois",,"Travel Pool Coverage"
2015-10-27T13:40:00-04:00,"The President arrives Chicago, Illinois","Chicago OâHare International Airport, Chicago, Illinois","Open to pre-credentialed media"
2015-10-27T15:00:00-04:00,"The President delivers remarks at the 122nd Annual IACP Conference and Exposition","McCormick Place, Chicago, Illinois","Open to pre-credentialed media"
2015-10-27T16:05:00-04:00,"The President participates in a DSCC roundtable","Power Reviews Headquarters, Chicago, Illinois","Closed Press"
2015-10-27T18:25:00-04:00,"The President delivers remarks at a DNC event","Public Hotel, Chicago, Illinois","Print Pool"
2015-10-26T10:00:00-04:00,"The President receives the Presidential Daily Briefing","Oval Office","Closed Press"
2015-10-26T11:10:00-04:00,"The President holds a meeting with teachers and educators; Secretary of Education Duncan and Dr. King also attend","Oval Office","Closed Press"
2015-10-26T12:20:00-04:00,"The President attends a luncheon hosted by Senator Daschle and Senator Mitchell","Metropolitan Club, Washington, DC","Closed Press"
2015-10-26T12:45:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-10-26T14:40:00-04:00,"The President holds a bilateral meeting with President Widodo of Indonesia","Oval Office","Pool Spray at the Bottom"
2015-10-26T16:20:00-04:00,"The President meets with Secretary of State Kerry","Oval Office","Closed Press"
2015-10-23T10:30:00-04:00,"The President receives the Presidential Daily Briefing","Oval Office","Closed Press"
2015-10-23T12:30:00-04:00,"Press Briefing by Principal Deputy Press Secretary Eric Schultz",,
2015-10-23T16:15:00-04:00,"The President delivers remarks at the DNCâs Womenâs Leadership Forum","Grand Hyatt Washington, Washington, DC","Pooled TV, Open to Correspondents"
2015-10-23T17:05:00-04:00,"The President attends a DNC roundtable","Grand Hyatt Washington, Washington, DC","Closed Press"
2015-10-22T08:30:00-04:00,"The Vice President hosts breakfast with Prime Minister Sharif of Pakistan","Naval Observatory","Closed Press"
2015-10-22T10:00:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-10-22T11:05:00-04:00,"The President holds a bilateral meeting with Prime Minister Sharif of Pakistan; the Vice President also attends","Oval Office","Pool Spray at the Bottom"
2015-10-22T12:30:00-04:00,"Press Briefing by Principal Deputy Press Secretary Eric Schultz",,
2015-10-22T14:30:00-04:00,"The President participates in a conversation on criminal justice reform","South Court Auditorium","Open to pre-credentialed media"
2015-10-22T15:45:00-04:00,"The President vetoes H.R. 1735","Oval Office","Pool Spray"
2015-10-21T10:30:00-04:00,"The President and the VIce President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-10-21T12:15:00-04:00,"The President departs the White House en route Joint Base Andrews","South Lawn","Open Press"
2015-10-21T12:30:00-04:00,"The President departs Joint Base Andrews en route Charleston, WV",,"Travel Pool Coverage"
2015-10-21T13:35:00-04:00,"The President arrives Charleston, WV","McLaughlin Air National Guard Base","Open to pre-credentialed media"
2015-10-21T14:20:00-04:00,"The President participates in a community forum","East End Family Resource Center","Open to pre-credentialed media"
2015-10-21T16:15:00-04:00,"The President departs Charleston, WV en route Washington, DC","McLaughlin Air National Guard Base","Open to pre-credentialed media"
2015-10-21T17:20:00-04:00,"The President arrives Joint Base Andrews",,"Travel Pool Coverage"
2015-10-21T17:30:00-04:00,"The President arrives at the White House","South Lawn","Open Press"
2015-10-21T18:35:00-04:00,"The President hosts House and Senate Democrats","State Dining Room","Closed Press"
2015-10-20T10:00:00-04:00,"The President receives the Presidential Daily Briefing","Oval Office","Closed Press"
2015-10-20T12:30:00-04:00,"The President and the Vice President meet for lunch","Private Dining Room","Closed Press"
2015-10-20T15:00:00-04:00,"The President meets with Secretary of State Kerry; the Vice President also attends","Oval Office","Closed Press"
2015-10-20T16:45:00-04:00,"The President meets with Secretary of Defense Carter","Oval Office","Closed Press"
2015-10-19T10:00:00-04:00,"The President Receives the Presidential Daily Briefing","Oval Office","Closed Press"
2015-10-19T10:55:00-04:00,"The President hosts a roundtable with CEOs","Roosevelt Room","Pool Spray at the Bottom"
2015-10-19T17:15:00-04:00,"The President meets with Secretary of the Treasury Lew; The Vice President also attends","Oval Office","Closed Press"
2015-10-19T19:35:00-04:00,"The President delivers remarks at the White House Astronomy Night","South Lawn","Open Press"
2015-10-16T10:00:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-10-16T11:55:00-04:00,"The President holds a bilateral meeting with President Park Geun-hye of the Republic of Korea; the Vice President also attends","Oval Office","Pool Spray at the Top"
2015-10-16T12:30:00-04:00,"The President holds a working lunch with President Park Geun-hye of the Republic of Korea; the Vice President also attends","Cabinet Room","Closed Press"
2015-10-16T13:40:00-04:00,"The President holds a joint press conference with President Park Geun-hye of the Republic of Korea","East Room","Open Press"
2015-10-15T04:35:00-04:00,"The President delivers remarks at a reception for the 25th Anniversary of the White House Initiative on Educational Excellence for Hispanics","East Room","Pooled Press"
2015-10-15T10:00:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-10-15T11:00:00-04:00,"The President delivers a statement on Afghanistan","Roosevelt Room","Pooled Press"
2015-10-14T10:00:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-10-14T12:30:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-10-14T12:30:00-04:00,"The President and the Vice President meet for lunch","Private Dining Room","Closed Press"
2015-10-14T14:00:00-04:00,"The President meets with Secretary of State Kerry; The Vice President also attends","Oval Office","Closed Press"
2015-10-14T19:25:00-04:00,"The President and the First Lady host ""In Performance at the White House""","East Room","Pooled Press"
2015-10-13T11:00:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-10-13T12:30:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-10-13T14:45:00-04:00,"The President meets with Attorney General Lynch","Oval Office","Closed Press"
2015-10-12T20:15:00-04:00,"The President arrives Joint Base Andrews",,"Travel Pool Coverage"
2015-10-12T20:30:00-04:00,"The President arrives the White House","South Lawn","Open Press"
2015-10-10T00:20:00-04:00,"The President participates in a DNC roundtable","Private Residence, San Francisco, California","Closed Press"
2015-10-10T13:50:00-04:00,"The President delivers remarks at a DNC event","Warfield Theater, San Francisco, California","Travel Pool Coverage"
2015-10-10T14:50:00-04:00,"The President departs San Francisco, California en route Los Angeles, California","San Francisco International Airport","Open to pre-credentialed media"
2015-10-10T15:00:00-04:00,"The President arrives in Los Angeles, California","Los Angeles International Airport","Open to pre-credentialed media"
2015-10-10T16:40:00-04:00,"The President participates in a DSCC Roundtable","Private Residence, Los Angeles, California","Closed Press"
2015-10-10T18:45:00-04:00,"The President delivers remarks at a DNC event","Private Residence, Los Angeles, California","Print Pool"
2015-10-09T09:15:00-04:00,"The President departs the White House en route Joint Base Andrews","South Lawn","Open Press"
2015-10-09T09:30:00-04:00,"The President departs Joint Base Andrews en route Eugene, Oregon",,"Travel Pool Coverage"
2015-10-09T14:40:00-04:00,"The President arrives Eugene, Oregon","Eugene Airport, Eugene, Oregon","Open to pre-credentialed media"
2015-10-09T15:40:00-04:00,"The President meets with families of the Umpqua Community College shooting","Roseburg, Oregon","Closed Press"
2015-10-09T17:45:00-04:00,"The President departs Eugene, Oregon en route Seattle, Washington","Eugene Airport, Eugene, Oregon","Open to pre-credentialed media"
2015-10-09T18:45:00-04:00,"The President arrives in Seattle, Washington","King County International Airport, Seattle, Washington","Open to pre-credentialed media"
2015-10-09T19:20:00-04:00,"The President participates in a DNC roundtable","Westin Hotel, Seattle, Washington","Closed Press"
2015-10-09T21:05:00-04:00,"The President delivers remarks at an event for Senator Patty Murray and the Washington State Democratic Party","Westin Hotel, Seattle, Washington","Travel Pool Coverage"
2015-10-09T22:00:00-04:00,"The President departs Seattle, Washington en route San Francisco, California","King County International Airport, Seattle, Washington","Open to pre-credentialed media"
2015-10-09T23:45:00-04:00,"The President arrives in San Francisco, California","San Francisco International Airport, San Francisco, California","Open to pre-credentialed media"
2015-10-08T10:00:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-10-08T12:15:00-04:00,"The Vice President delivers remarks at the American Job Creation and Infrastructure Forum hosted by the Carnegie Endowmentâs Bernard L. Schwartz Program in Competitiveness and Growth Policies","Four Seasons Hotel in Washington, D.C.","Open Press"
2015-10-08T12:30:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-10-08T20:00:00-04:00,"The President delivers remarks at the Congressional Hispanic Caucus Instituteâs (CHCI) 38th Anniversary Awards Gala","Walter E. Washington Convention Center, Washington, DC","Open Press"
2015-10-07T10:00:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-10-07T11:00:00-04:00,"The President holds a bilateral meeting with President Gauck of Germany; The Vice President will also attend","Oval Office","Pool Spray at the Top"
2015-10-07T12:20:00-04:00,"The President delivers remarks at the White House Summit on Worker Voice","East Room","Open Press"
2015-10-07T14:30:00-04:00,"The President meets with Secretary of State Kerry; The Vice President also attends","Oval Office","Closed Press"
2015-10-07T16:40:00-04:00,"The President participates in a conversation co-hosted by Coworker.org with workers, employers, unions and other advocates","East Room","Open Press"
2015-10-06T10:00:00-04:00,"The President and The Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-10-06T11:15:00-04:00,"The President joins Secretary Vilsack for a meeting with agriculture and business leaders","U.S. Department of Agriculture, Washington, DC","Pool Spray at the Bottom"
2015-10-06T12:45:00-04:00,"The President and the Vice President meet for lunch","Private Dining Room","Closed Press"
2015-10-05T10:30:00-04:00,"The President receives the Presidential Daily Briefing","Oval Office","Closed Press"
2015-10-01T10:30:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-10-01T10:30:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-10-01T14:00:00-04:00,"The President meets with Secretary of the Treasury Lew; the Vice President also attends","Oval Office","Closed Press"
2015-09-30T10:00:00-04:00,"The President receives the Presidential Daily Briefing","Oval Office","Closed Press"
2015-09-30T16:10:00-04:00,"The President delivers remarks to Democratic State Legislators","Eisenhower Executive Office Building","Pooled Press"
2015-09-29T09:45:00-04:00,"The President holds a bilateral meeting with President Raul Castro of Cuba","United Nations Building","Pool Spray at the Top"
